userId,logDate,dayWiseSteps
167486,2025-11-29,12537
167486,2025-11-30,12135
167486,2025-12-01,10541
167486,2025-12-02,10505
167486,2025-12-03,11010
167486,2025-12-04,10002
167486,2025-12-05,7375
167486,2025-12-06,9880
167486,2025-12-07,10542
167486,2025-12-08,12187
167486,2025-12-09,10010
167486,2025-12-10,19095
167486,2025-12-11,10023
167486,2025-12-12,6163
167486,2025-12-13,14022
167486,2025-12-14,15090
167486,2025-12-15,10024
167486,2025-12-16,12168
167486,2025-12-17,11281
167682,2025-11-24,3167
167682,2025-11-25,356
167682,2025-11-26,6132
167682,2025-11-27,7692
167682,2025-11-28,10101
167682,2025-11-29,10074
167682,2025-11-30,6682
167682,2025-12-01,8378
167682,2025-12-02,10045
167682,2025-12-03,10098
167682,2025-12-04,6449
167682,2025-12-05,6186
167682,2025-12-06,5948
167682,2025-12-07,6187
167682,2025-12-08,12696
167682,2025-12-09,6302
167682,2025-12-10,16461
167682,2025-12-11,9116
167682,2025-12-12,5053
167682,2025-12-13,10976
167682,2025-12-14,8804
167682,2025-12-15,4316
167682,2025-12-16,8622
167682,2025-12-17,10529
835846,2025-11-24,5965
835846,2025-11-25,6198
835846,2025-11-26,7499
835846,2025-11-27,5871
835846,2025-11-28,6536
835846,2025-11-29,5527
835846,2025-11-30,6009
835846,2025-12-01,6847
835846,2025-12-02,6341
835846,2025-12-03,6083
835846,2025-12-04,5557
835846,2025-12-05,7190
835846,2025-12-06,8530
835846,2025-12-07,7783
835846,2025-12-08,5901
835846,2025-12-09,6964
835846,2025-12-10,7630
835846,2025-12-11,5567
835846,2025-12-12,6064
835846,2025-12-13,7141
835846,2025-12-14,8106
835846,2025-12-15,7974
835846,2025-12-16,6827
835846,2025-12-17,6696
4797679,2025-11-24,9050
4797679,2025-11-25,10325
4797679,2025-11-26,7726
4797679,2025-11-27,9581
4797679,2025-11-28,10298
4797679,2025-11-29,10392
4797679,2025-11-30,6544
4797679,2025-12-01,3736
4797679,2025-12-02,11671
4797679,2025-12-03,6795
4797679,2025-12-04,4045
4797679,2025-12-05,11999
4797679,2025-12-06,8869
4797679,2025-12-07,8075
4797679,2025-12-08,12250
4797679,2025-12-09,10958
4797679,2025-12-10,9686
4797679,2025-12-11,11891
4797679,2025-12-12,5602
4797679,2025-12-13,7083
4797679,2025-12-14,11893
4797679,2025-12-15,11265
4797679,2025-12-16,11209
4797679,2025-12-17,15837
5039865,2025-11-24,5735
5039865,2025-11-26,1600
5039865,2025-11-29,1042
5039865,2025-11-30,1390
5039865,2025-12-01,3413
5039865,2025-12-02,7613
5039865,2025-12-03,9510
5039865,2025-12-04,9890
5039865,2025-12-05,2297
5039865,2025-12-06,2457
5039865,2025-12-07,17589
5039865,2025-12-08,2025
5039865,2025-12-09,1507
5039865,2025-12-10,4092
5039865,2025-12-11,6039
5039865,2025-12-12,5508
5039865,2025-12-13,2408
5039865,2025-12-15,6693
5039865,2025-12-16,6270
5039865,2025-12-17,5012
6165857,2025-11-24,10765
6165857,2025-11-25,11713
6165857,2025-11-26,13720
6165857,2025-11-27,9467
6165857,2025-11-28,12712
6165857,2025-11-29,14558
6165857,2025-11-30,14319
6165857,2025-12-01,15646
6165857,2025-12-02,14179
6165857,2025-12-03,15644
6165857,2025-12-04,14171
6165857,2025-12-05,15835
6165857,2025-12-06,10437
6165857,2025-12-07,10753
6165857,2025-12-08,10385
6165857,2025-12-09,10464
6165857,2025-12-10,12044
6165857,2025-12-11,9605
6165857,2025-12-12,10109
6165857,2025-12-13,11316
6165857,2025-12-14,14852
6165857,2025-12-15,12808
6165857,2025-12-16,15759
6165857,2025-12-17,14361
6166080,2025-11-24,4917
6166080,2025-11-27,6690
6166080,2025-11-28,9169
6166080,2025-11-29,3802
6166080,2025-11-30,8648
6166080,2025-12-01,8038
6166080,2025-12-02,2432
6166080,2025-12-03,1109
6166080,2025-12-06,9796
6166080,2025-12-07,6835
6166080,2025-12-08,7503
6166080,2025-12-09,10801
6166080,2025-12-10,9342
6166080,2025-12-11,7196
6166080,2025-12-12,8526
6166080,2025-12-13,7690
6166080,2025-12-14,3281
6166080,2025-12-15,8502
6166080,2025-12-16,8638
6166080,2025-12-17,8930
6166162,2025-11-24,10290
6166162,2025-11-25,10152
6166162,2025-11-26,10137
6166162,2025-11-27,10975
6166162,2025-11-28,11003
6166162,2025-11-29,8831
6166162,2025-11-30,6126
6166162,2025-12-01,6010
6166162,2025-12-02,10544
6166162,2025-12-03,8214
6166162,2025-12-04,10230
6166162,2025-12-05,12073
6166162,2025-12-06,10386
6166162,2025-12-07,10507
6166162,2025-12-08,10876
6166162,2025-12-09,10287
6166162,2025-12-10,12158
6166162,2025-12-11,10276
6166162,2025-12-12,10155
6166162,2025-12-13,10209
6166162,2025-12-14,10922
6166162,2025-12-15,10353
6166162,2025-12-16,11256
6166162,2025-12-17,9312
6166166,2025-11-24,2320
6166166,2025-11-25,8591
6166166,2025-11-26,6791
6166166,2025-11-27,8316
6166166,2025-11-28,8105
6166166,2025-11-29,6948
6166166,2025-11-30,7048
6166166,2025-12-01,8999
6166166,2025-12-02,5658
6166166,2025-12-03,8430
6166166,2025-12-04,7719
6166166,2025-12-05,6400
6166166,2025-12-06,5533
6166166,2025-12-07,7436
6166166,2025-12-08,9546
6166166,2025-12-09,10334
6166166,2025-12-10,4829
6166166,2025-12-11,6265
6166166,2025-12-12,9219
6166166,2025-12-13,8564
6166166,2025-12-14,10518
6166166,2025-12-15,2380
6166166,2025-12-16,8837
6166166,2025-12-17,12080
6166227,2025-11-24,8603
6166227,2025-11-25,10518
6166227,2025-11-26,13857
6166227,2025-11-27,16972
6166227,2025-11-28,9152
6166227,2025-11-29,9559
6166227,2025-11-30,12934
6166227,2025-12-01,8865
6166227,2025-12-02,14028
6166227,2025-12-03,11017
6166227,2025-12-04,13073
6166227,2025-12-05,9128
6166227,2025-12-06,11191
6166227,2025-12-07,10209
6166227,2025-12-08,10853
6166227,2025-12-09,9774
6166227,2025-12-10,10110
6166227,2025-12-11,10648
6166227,2025-12-12,12254
6166227,2025-12-13,11275
6166227,2025-12-14,14165
6166227,2025-12-15,12627
6166227,2025-12-16,12083
6166227,2025-12-17,12557
6166274,2025-11-24,5092
6166274,2025-11-25,3714
6166274,2025-11-26,3564
6166274,2025-11-27,2713
6166274,2025-11-28,5163
6166274,2025-11-29,4666
6166274,2025-11-30,1644
6166274,2025-12-01,4106
6166274,2025-12-02,2819
6166274,2025-12-03,4173
6166274,2025-12-04,5033
6166274,2025-12-05,4511
6166274,2025-12-06,1942
6166274,2025-12-07,2496
6166274,2025-12-08,6489
6166274,2025-12-09,6574
6166274,2025-12-10,6471
6166274,2025-12-11,5920
6166274,2025-12-12,6274
6166274,2025-12-13,3882
6166274,2025-12-14,4608
6166274,2025-12-15,6668
6166274,2025-12-16,6003
6166274,2025-12-17,5535
6166305,2025-11-24,3611
6166305,2025-11-25,3408
6166305,2025-11-26,2460
6166305,2025-11-27,4068
6166305,2025-11-28,5449
6166305,2025-11-29,7059
6166305,2025-11-30,2118
6166305,2025-12-01,6926
6166305,2025-12-02,5096
6166305,2025-12-03,5082
6166305,2025-12-04,5091
6166305,2025-12-05,5268
6166305,2025-12-06,5280
6166305,2025-12-07,5115
6166305,2025-12-08,6275
6166305,2025-12-09,5099
6166305,2025-12-10,5368
6166305,2025-12-11,5085
6166305,2025-12-12,6437
6166305,2025-12-13,7315
6166305,2025-12-14,6966
6166305,2025-12-15,7265
6166305,2025-12-16,7733
6166305,2025-12-17,7402
6166306,2025-11-24,7920
6166306,2025-11-25,10288
6166306,2025-11-26,7932
6166306,2025-11-27,7319
6166306,2025-11-28,7449
6166306,2025-11-29,9757
6166306,2025-11-30,5407
6166306,2025-12-01,7402
6166306,2025-12-02,5456
6166306,2025-12-03,7722
6166306,2025-12-04,5701
6166306,2025-12-05,11705
6166306,2025-12-06,8402
6166306,2025-12-07,8344
6166306,2025-12-08,8960
6166306,2025-12-09,11282
6166306,2025-12-10,6086
6166306,2025-12-11,9099
6166306,2025-12-12,12307
6166306,2025-12-13,10469
6166306,2025-12-14,6460
6166306,2025-12-15,10738
6166306,2025-12-16,8905
6166306,2025-12-17,8977
6166310,2025-11-24,7331
6166310,2025-11-25,22919
6166310,2025-11-26,21734
6166310,2025-11-27,13364
6166310,2025-11-28,24998
6166310,2025-11-29,6167
6166310,2025-11-30,30187
6166310,2025-12-01,5261
6166310,2025-12-02,21902
6166310,2025-12-03,9389
6166310,2025-12-04,18156
6166310,2025-12-05,7251
6166310,2025-12-06,22841
6166310,2025-12-07,29845
6166310,2025-12-08,6880
6166310,2025-12-09,26479
6166310,2025-12-10,20467
6166310,2025-12-11,22878
6166310,2025-12-12,13584
6166310,2025-12-13,24473
6166310,2025-12-14,31049
6166310,2025-12-15,12330
6166310,2025-12-16,22460
6166310,2025-12-17,15741
6166483,2025-11-24,4805
6166483,2025-11-25,7784
6166483,2025-11-27,4314
6166483,2025-11-28,718
6166483,2025-11-29,1951
6166483,2025-11-30,3260
6166483,2025-12-02,7427
6166483,2025-12-03,3023
6166483,2025-12-04,1723
6166483,2025-12-05,5644
6166483,2025-12-06,3494
6166483,2025-12-07,5782
6166483,2025-12-08,6705
6166483,2025-12-09,5054
6166483,2025-12-10,4728
6166483,2025-12-11,1602
6166483,2025-12-12,1970
6166483,2025-12-13,2882
6166483,2025-12-14,3750
6166483,2025-12-15,4516
6166483,2025-12-16,7309
6166483,2025-12-17,3374
