userId,logDate,deviceSleepLogCount,deviceSleepDurationInMin
835846,2025-12-08,1,425
835846,2025-12-09,1,510
835846,2025-12-10,1,425
835846,2025-12-11,1,415
835846,2025-12-12,1,465
835846,2025-12-13,1,400
835846,2025-12-14,1,480
835846,2025-12-15,1,480
835846,2025-12-16,1,480
835846,2025-12-17,1,455
4797679,2025-11-24,1,461
4797679,2025-11-25,1,417
4797679,2025-11-26,1,407
4797679,2025-11-27,1,422
4797679,2025-11-28,1,267
4797679,2025-11-29,1,427
4797679,2025-11-30,1,475
4797679,2025-12-01,1,451
4797679,2025-12-02,1,423
4797679,2025-12-03,1,417
4797679,2025-12-04,1,480
4797679,2025-12-05,1,439
4797679,2025-12-06,1,435
4797679,2025-12-07,1,393
4797679,2025-12-08,1,444
4797679,2025-12-09,1,371
4797679,2025-12-10,1,431
4797679,2025-12-11,1,421
4797679,2025-12-12,1,140
4797679,2025-12-13,1,442
4797679,2025-12-15,1,328
4797679,2025-12-16,1,411
4797679,2025-12-17,1,132
5039865,2025-11-24,1,0
5039865,2025-11-25,1,474
5039865,2025-12-01,1,401
5039865,2025-12-02,1,494
5039865,2025-12-03,1,526
5039865,2025-12-08,1,439
5039865,2025-12-09,1,433
5039865,2025-12-11,1,382
5039865,2025-12-12,1,425
5039865,2025-12-13,1,431
5039865,2025-12-14,1,530
5039865,2025-12-15,1,390
5039865,2025-12-16,1,365
5039865,2025-12-17,1,410
6165857,2025-11-24,1,506
6165857,2025-11-25,1,407
6165857,2025-11-26,1,469
6165857,2025-11-27,1,510
6165857,2025-11-28,1,427
6165857,2025-11-29,1,348
6165857,2025-11-30,1,373
6165857,2025-12-01,1,370
6165857,2025-12-02,1,344
6165857,2025-12-04,1,358
6165857,2025-12-05,1,352
6165857,2025-12-07,1,473
6165857,2025-12-08,1,447
6165857,2025-12-09,1,46
6165857,2025-12-10,1,353
6165857,2025-12-12,1,439
6165857,2025-12-14,1,506
6166080,2025-11-24,1,437
6166080,2025-11-27,1,495
6166080,2025-11-28,1,437
6166080,2025-11-29,1,92
6166080,2025-11-30,1,90
6166080,2025-12-01,1,362
6166080,2025-12-06,1,331
6166080,2025-12-07,1,364
6166080,2025-12-08,1,352
6166080,2025-12-10,1,311
6166080,2025-12-11,1,390
6166080,2025-12-12,1,91
6166080,2025-12-13,1,99
6166080,2025-12-14,1,371
6166080,2025-12-16,1,480
6166080,2025-12-17,1,435
6166162,2025-11-24,1,368
6166162,2025-11-25,1,622
6166162,2025-11-26,1,487
6166162,2025-11-27,1,611
6166162,2025-11-28,1,443
6166162,2025-11-29,1,444
6166162,2025-11-30,1,348
6166162,2025-12-01,1,337
6166162,2025-12-02,1,531
6166162,2025-12-03,1,479
6166162,2025-12-04,1,436
6166162,2025-12-06,1,426
6166162,2025-12-07,1,431
6166162,2025-12-08,1,463
6166162,2025-12-09,1,499
6166162,2025-12-10,1,592
6166162,2025-12-11,1,450
6166162,2025-12-12,1,516
6166162,2025-12-13,1,417
6166162,2025-12-14,1,534
6166162,2025-12-15,1,488
6166162,2025-12-16,1,473
6166162,2025-12-17,1,451
